listing_id,date
125176,2018-04-14
125176,2018-04-20
125176,2018-04-22
125176,2018-04-25
125176,2018-04-27
125176,2018-05-06
125176,2018-05-08
125176,2018-05-17
125176,2018-05-21
125176,2018-05-25
125176,2018-05-28
125176,2018-06-14
125176,2018-06-19
125176,2018-06-21
125176,2018-06-23
125176,2018-06-28
125176,2018-07-02
125176,2018-07-04
125176,2018-07-15
125176,2018-07-18
125176,2018-07-22
125176,2018-07-24
125176,2018-07-27
125176,2018-08-03
125176,2018-08-06
125176,2018-08-09
125176,2018-08-13
125176,2018-08-15
125176,2018-08-18
125176,2018-08-20
125176,2018-08-27
125176,2018-08-31
125176,2018-09-03
125176,2018-09-06
125176,2018-09-09
125176,2018-09-12
125176,2018-09-14
125176,2018-09-16
125176,2018-09-21
125176,2018-09-23
125176,2018-09-26
125176,2018-09-29
125176,2018-10-03
125176,2018-10-11
125176,2018-10-13
125176,2018-10-16
125176,2018-10-19
125176,2018-10-23
125176,2018-10-25
125176,2018-11-02
125176,2018-11-08
125176,2018-11-11
125176,2018-11-16
125176,2018-11-18
125176,2018-11-21
125176,2018-11-26
125176,2018-11-28
125176,2018-11-30
125176,2018-12-02
125176,2018-12-04
125176,2018-12-06
125176,2018-12-10
125176,2018-12-17
125176,2018-12-23
125176,2018-12-27
125176,2018-12-30
125176,2019-01-02
125176,2019-01-05
125176,2019-01-07
125176,2019-01-10
125176,2019-01-15
125176,2019-01-24
125176,2019-01-27
125176,2019-02-01
125176,2019-02-10
125176,2019-02-13
125176,2019-02-15
125176,2019-02-18
125176,2019-02-23
125176,2019-02-25
125176,2019-02-27
125176,2019-03-06
125176,2019-03-08
125176,2019-03-10
125176,2019-03-19
125176,2019-03-27
125176,2019-03-30
125176,2019-04-01
125176,2019-04-04
125176,2019-04-06
125176,2019-04-08
125176,2019-04-10
125176,2019-04-12
125176,2019-04-15
125176,2019-04-19
125176,2019-04-21
125176,2019-04-24
125176,2019-04-27
125176,2019-04-30
125176,2019-05-03
125176,2019-05-07
125176,2019-05-10
125176,2019-05-12
125176,2019-05-20
125176,2019-05-22
125176,2019-05-27
125176,2019-06-05
125176,2019-06-09
125176,2019-06-14
125176,2019-06-20
125176,2019-06-23
125176,2019-06-30
125176,2019-07-07
125176,2019-07-10
125176,2019-07-12
125176,2019-07-17
125176,2019-07-19
125176,2019-07-21
125176,2019-07-24
125176,2019-07-26
125176,2019-08-09
125176,2019-08-11
125176,2019-08-16
125176,2019-08-19
125176,2019-08-22
125176,2019-08-26
125176,2019-08-29
125176,2019-08-31
125176,2019-09-02
125176,2019-09-10
125176,2019-09-15
125176,2019-09-18
125176,2019-09-20
125176,2019-09-24
125176,2019-10-02
125176,2019-10-04
125176,2019-10-11
125176,2019-10-18
125176,2019-10-20
125176,2019-10-23
125176,2019-10-29
125176,2019-11-03
125176,2019-11-14
125176,2019-11-18
125176,2019-11-21
125176,2019-11-23
125176,2019-11-25
125176,2019-11-27
125176,2019-11-30
125176,2019-12-02
125176,2019-12-07
125176,2019-12-16
125176,2019-12-20
125176,2019-12-22
125176,2019-12-25
